probes,moduleColor,GS.PCD,p.GS.PCD,MEyellow,MEyellow
CARD8,yellow,0.06674984,0.172638478,0.465578671,6.26072E-24
SIGLEC5,yellow,0.38120055,6.11294E-16,0.64225383,4.18915E-50
JAK3,yellow,0.378015276,1.11078E-15,0.90621126,5.5365E-158
ELL,yellow,0.141396058,0.003728734,0.363049412,1.68571E-14
HPN,yellow,-0.146598352,0.002628897,-0.290504483,1.36214E-09
PBX4,yellow,0.220338574,5.29321E-06,0.467710668,3.66733E-24
RASA4,yellow,0.088131911,0.071524331,0.328320124,5.48393E-12
ATP6V0A4,yellow,0.08863495,0.069915033,0.226461522,2.83153E-06
ZC3HAV1,yellow,0.199524965,3.89864E-05,0.386900251,2.0653E-16
TFEC,yellow,0.485815116,3.34871E-26,0.832207933,7.3451E-109
HOXA1,yellow,0.299930559,3.70635E-10,0.544976622,8.77124E-34
HOXA2,yellow,0.205017461,2.34658E-05,0.354854913,7.04457E-14
CPVL,yellow,0.126045816,0.009803225,0.427101526,5.24308E-20
CCL24,yellow,0.160059223,0.001009865,0.325494826,8.51086E-12
GIMAP2,yellow,0.287676187,1.99449E-09,0.731234668,2.80668E-71
BLVRA,yellow,0.145975882,0.002742785,0.426283808,6.27555E-20
TRIM14,yellow,0.229217939,2.12425E-06,0.389260382,1.30959E-16
SUSD1,yellow,0.285116708,2.80625E-09,0.52475038,5.05944E-31
AKNA,yellow,0.359305755,3.25641E-14,0.85846935,5.3549E-123
TNFSF8,yellow,0.482500513,8.07994E-26,0.893730992,2.9295E-147
DOCK8,yellow,0.459020004,3.1698E-23,0.843260995,1.716E-114
DDX58,yellow,0.216717842,7.59983E-06,0.400137954,1.52917E-17
RAPGEF1,yellow,0.202305562,3.02021E-05,0.497271,1.47972E-27
VSIR,yellow,0.379681412,8.13409E-16,0.654317677,1.48143E-52
SPOCK2,yellow,0.342313388,5.81039E-13,0.861334725,1.0346E-124
PPP3CB,yellow,0.059369068,0.225246845,0.44678363,5.95954E-22
CCSER2,yellow,0.272103713,1.51076E-08,0.352370939,1.07796E-13
LIPA,yellow,0.195183176,5.76782E-05,0.317701593,2.79458E-11
P2RX1,yellow,0.304104254,2.05131E-10,0.549395501,2.06331E-34
PNPO,yellow,-0.271624677,1.60467E-08,-0.291196263,1.24004E-09
ICAM2,yellow,0.210627079,1.37752E-05,0.323338854,1.18661E-11
CYTH1,yellow,-0.144188117,0.003095293,0.300541997,3.40067E-10
CCL8,yellow,0.194213955,6.28754E-05,0.548264064,2.99488E-34
ABI3,yellow,0.482631915,7.8041E-26,0.772520169,2.86326E-84
PPP1R9B,yellow,0.355709798,6.07988E-14,0.600143637,2.37501E-42
IL2,yellow,0.365632602,1.06481E-14,0.572975018,6.27178E-38
FBXW7,yellow,0.20453011,2.45606E-05,0.424122145,1.00693E-19
CLNK,yellow,0.335794084,1.67704E-12,0.870824022,1.1262E-130
CTSC,yellow,0.247257515,2.96087E-07,0.536655238,1.26362E-32
LPXN,yellow,0.381941147,5.31539E-16,0.837470169,1.7285E-111
EHD1,yellow,0.111773457,0.022120911,0.555298269,2.88598E-35
MS4A6A,yellow,0.514324695,1.13854E-29,0.599590597,2.95062E-42
MS4A4A,yellow,0.408553384,2.74766E-18,0.608913352,7.18276E-44
APOC3,yellow,-0.184950025,0.000140424,-0.315187564,4.07123E-11
IL10RA,yellow,0.483536851,6.14122E-26,0.817358667,6.5383E-102
COMMD9,yellow,-0.125889844,0.009895138,0.058518076,0.231977174
SLC15A3,yellow,0.441251239,2.16083E-21,0.583839884,1.19934E-39
CD5,yellow,0.372249385,3.22082E-15,0.906710429,1.9208E-158
C11orf21,yellow,0.314806843,4.30862E-11,0.863625487,4.136E-126
POU2AF1,yellow,0.217289612,7.18081E-06,0.734552747,3.1244E-72
VWF,yellow,0.106393503,0.029443396,0.185028784,0.000139491
CD69,yellow,0.465490861,6.39964E-24,0.748753902,1.76241E-76
SELPLG,yellow,0.463112455,1.15687E-23,0.923589443,1.002E-175
DAO,yellow,-0.254082691,1.34818E-07,-0.285738369,2.58372E-09
BIN2,yellow,0.475069666,5.62314E-25,0.944023703,5.8836E-203
CYP27B1,yellow,0.043507826,0.374356179,0.281460196,4.54359E-09
ELK3,yellow,0.526299434,3.1562E-31,0.575755063,2.31089E-38
